model,method,n,positive,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
llama,exact,1000,500,0.9185506666666665,0.9110522204180418,0.8363333333333333,0.8363333333333335,0.835990647973353,0.0
llama,attention,1000,500,0.9145719999999998,0.9005233703159506,0.8326666666666666,0.8326666666666668,0.8322972048449303,0.46611638559472834
llama,gradient,1000,500,0.9152186666666666,0.9029076826502864,0.8346666666666667,0.8346666666666667,0.8342947236290063,0.43526352646744804
mistral,exact,1000,500,0.9678693333333334,0.9592344675803167,0.9123333333333333,0.9123333333333333,0.9122834372029555,0.0
mistral,attention,1000,500,0.9692080000000001,0.9612408406001665,0.9096666666666667,0.9096666666666667,0.9096023171647355,0.4628099173553719
mistral,gradient,1000,500,0.9646933333333333,0.954848156567365,0.9076666666666666,0.9076666666666666,0.9076118714845846,0.42863665260359474
qwen,exact,1000,500,0.9074213333333332,0.9089411670478963,0.819,0.819,0.8187941126995462,0.0
qwen,attention,1000,500,0.9015853333333333,0.9024557522163593,0.8119999999999999,0.8119999999999999,0.8117878702573575,0.4672905921067986
qwen,gradient,1000,500,0.8837026666666667,0.8766200972593344,0.7943333333333333,0.7943333333333333,0.7939746208835259,0.47006791607347076
