model,method,evaluation,auroc,auprc,accuracy,balanced_accuracy,macro_f1,query_reduction
falcon3,exact,scientist,0.6447552231152135,0.6515289988642485,0.6069153776160147,0.6088001644518714,0.6064127329249703,0.0
falcon3,exact,trivia,0.8967592592592591,0.914683436809427,0.809,0.8103730542136338,0.808562787777317,0.0
falcon3,exact,gsm8k,0.8718362659270174,0.9250169239976905,0.821656050955414,0.7874104330993036,0.7863758311550196,0.0
falcon3,exact,scientist_to_all,0.6262386675100148,0.7841779718758042,0.4208754208754209,0.5521030993042378,0.40847614636405744,0.0
falcon3,exact,scientist_to_athlete,0.7285166940339355,0.8387038902632802,0.41304347826086957,0.5435139573070608,0.3991291727140784,0.0
falcon3,exact,scientist_to_building,0.6146272855133615,0.8123573746355799,0.4434782608695652,0.5873769338959213,0.4278606965174129,0.0
falcon3,exact,scientist_to_musician,0.5524193548387096,0.7357763978686691,0.4,0.5155529953917051,0.3925,0.0
falcon3,attention,scientist,0.6499871798272371,0.6548763960692615,0.6105550500454959,0.6119737098043376,0.6103467834382569,0.4150114148282893
falcon3,attention,trivia,0.8982890499194847,0.9155648221387475,0.8116666666666666,0.8130032206119163,0.8112258504316494,0.4120489114226066
falcon3,attention,gsm8k,0.8724881540550692,0.9250778358552502,0.8234253361641897,0.7904080350177689,0.78888385572987,0.35541304152838815
falcon3,attention,scientist_to_all,0.6056293485135991,0.7669178887191137,0.4377104377104377,0.5585072738772928,0.4302436446762317,0.30543094397251125
falcon3,attention,scientist_to_athlete,0.6436781609195402,0.7952118212281711,0.4673913043478261,0.5925013683634373,0.45966678652762794,0.30543094397251125
falcon3,attention,scientist_to_building,0.6262306610407877,0.7863703951203497,0.4434782608695652,0.5722573839662447,0.4338461538461538,0.30543094397251125
falcon3,attention,scientist_to_musician,0.5391705069124424,0.7345323378550561,0.4,0.5057603686635944,0.39522150323544053,0.30543094397251125
